Error: URL for ticker 'MSFT' does not exist. Status code: 301
         464501 function calls (440570 primitive calls) in 1.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.253    0.253    0.253    0.253 {built-in method _socket.getaddrinfo}
        1    0.205    0.205    0.205    0.205 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.205    0.205    0.205    0.205 {method 'connect' of '_socket.socket' objects}
        6    0.203    0.034    0.203    0.034 {method 'read' of '_ssl._SSLSocket' objects}
      240    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
 4577/232    0.017    0.000    0.050    0.000 _parser.py:512(_parse)
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 5111/194    0.011    0.000    0.025    0.000 _compiler.py:37(_compile)
  776/769    0.007    0.000    0.050    0.000 {built-in method builtins.__build_class__}
    336/1    0.007    0.000    1.112    1.112 {built-in method builtins.exec}
58369/52563    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    64584    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    26225    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
      690    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
 1135/194    0.004    0.000    0.051    0.000 _parser.py:452(_parse_sub)
     1152    0.004    0.000    0.004    0.000 {built-in method posix.stat}
41212/41192    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    12880    0.004    0.000    0.006    0.000 _parser.py:261(get)
 5067/384    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
    20585    0.003    0.000    0.003    0.000 _parser.py:240(__next)
      240    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
 1051/926    0.003    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
      240    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
        1    0.003    0.003    0.035    0.035 dammit.py:128(_populate_class_variables)
      514    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      240    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     10/8    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
    13564    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    10620    0.002    0.000    0.003    0.000 _parser.py:256(match)
     2800    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    11300    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
       19    0.002    0.000    0.003    0.000 enum.py:1708(convert_class)
       10    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     3050    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      274    0.001    0.000    0.087    0.000 __init__.py:280(_compile)
      447    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
     6871    0.001    0.000    0.002    0.000 _parser.py:176(append)
      121    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
      240    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    300/6    0.001    0.000    0.222    0.037 <frozen importlib._bootstrap>:1349(_find_and_load)
      293    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1848    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
      480    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     6997    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      532    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     6083    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     3816    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      288    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
    299/5    0.001    0.000    0.221    0.044 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     4930    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3543    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     4275    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      185    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
      123    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
     5670    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
