Error: URL for ticker 'MSFT' does not exist. Status code: 301
         464555 function calls (440614 primitive calls) in 1.152 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    64594    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
58389/52573    0.005    0.000    0.006    0.000 {built-in method builtins.len}
41222/41202    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    26235    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
    20585    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    13564    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    12880    0.003    0.000    0.005    0.000 _parser.py:261(get)
    11310    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
    10620    0.002    0.000    0.003    0.000 _parser.py:256(match)
     7622    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6997    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     6871    0.002    0.000    0.003    0.000 _parser.py:176(append)
     6086    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6083    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     5670    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
 5111/194    0.011    0.000    0.025    0.000 _compiler.py:37(_compile)
 5067/384    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
     4930    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
 4577/232    0.017    0.000    0.050    0.000 _parser.py:512(_parse)
     4275    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     4136    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3816    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     3811    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3543    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3050    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2931    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2836    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2800    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2741    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
     2090    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
     2065    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1848    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1698    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1584    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1584    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1437    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
 1329/953    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1226    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1226    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
     1215    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1152    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     1152    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
 1135/194    0.004    0.000    0.050    0.000 _parser.py:452(_parse_sub)
     1118    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
 1051/926    0.003    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
     1028    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1014    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      960    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      894    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      894    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      865    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      863    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      822    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      790    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  776/769    0.007    0.000    0.049    0.000 {built-in method builtins.__build_class__}
      765    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      763    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      753    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      742    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      737    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      720    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      708    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      690    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      690    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      640    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      630    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
   614/10    0.000    0.000    0.217    0.022 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      595    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      594    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
  579/540    0.001    0.000    0.010    0.000 typing.py:392(inner)
      576    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
  547/340    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      532    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      521    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      514    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      509    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      509    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      497    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      495    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      495    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      491    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      490    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      480    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      480    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      470    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      448    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      447    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      447    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      447    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      446    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      433    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      428    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
