('Total Revenue', '281,724,000', '211,915,000', '281,724,000', '245,122,000', '198,270,000')
         903794 function calls (879443 primitive calls) in 9.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      339    3.265    0.010    3.265    0.010 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.172    0.172    0.172    0.172 {built-in method _socket.getaddrinfo}
        1    0.144    0.144    0.144    0.144 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.139    0.139    0.139    0.139 {method 'connect' of '_socket.socket' objects}
     3992    0.025    0.000    0.133    0.000 parser.py:320(parse_starttag)
    35969    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
 4760/199    0.020    0.000    0.057    0.000 _parser.py:512(_parse)
        2    0.018    0.009    0.220    0.110 parser.py:135(goahead)
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 5522/191    0.012    0.000    0.029    0.000 _compiler.py:37(_compile)
      166    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
     3992    0.012    0.000    0.017    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     3992    0.011    0.000    0.060    0.000 __init__.py:990(handle_starttag)
       42    0.011    0.000    0.011    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    94698    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    11693    0.007    0.000    0.007    0.000 element.py:382(setup)
     8290    0.007    0.000    0.032    0.000 __init__.py:829(endData)
     3993    0.007    0.000    0.029    0.000 element.py:1813(__init__)
     3992    0.007    0.000    0.069    0.000 _htmlparser.py:142(handle_starttag)
73847/67483    0.007    0.000    0.008    0.000 {built-in method builtins.len}
     3777    0.007    0.000    0.046    0.000 parser.py:398(parse_endtag)
61521/61511    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    11972    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
    29645    0.006    0.000    0.008    0.000 _parser.py:168(__getitem__)
    20574    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     3992    0.005    0.000    0.035    0.000 _htmlparser.py:204(handle_endtag)
      902    0.005    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
  551/546    0.005    0.000    0.044    0.000 {built-in method builtins.__build_class__}
     3991    0.005    0.000    0.009    0.000 __init__.py:953(_popToTag)
 1271/191    0.005    0.000    0.058    0.000 _parser.py:452(_parse_sub)
    15881    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
4589/4559    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
        1    0.004    0.004    0.004    0.004 models.py:909(text)
     3850    0.004    0.000    0.011    0.000 __init__.py:870(object_was_parsed)
     3993    0.004    0.000    0.005    0.000 __init__.py:812(pushTag)
 5469/372    0.004    0.000    0.007    0.000 _parser.py:178(getwidth)
    26162    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     3850    0.004    0.000    0.008    0.000 element.py:1478(__new__)
    16696    0.004    0.000    0.006    0.000 _parser.py:261(get)
    25515    0.004    0.000    0.004    0.000 _parser.py:240(__next)
    11663    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    22113    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     3992    0.003    0.000    0.004    0.000 __init__.py:789(popTag)
     3850    0.003    0.000    0.005    0.000 __init__.py:735(string_container)
8473/8446    0.003    0.000    0.008    0.000 typing.py:392(inner)
      881    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    17581    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    21931    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        1    0.003    0.003    0.035    0.035 dammit.py:128(_populate_class_variables)
      230    0.003    0.000    0.535    0.002 {method 'read' of '_io.BufferedReader' objects}
     3992    0.003    0.000    0.011    0.000 parser.py:364(check_for_whole_start_tag)
     3991    0.003    0.000    0.030    0.000 __init__.py:1056(handle_endtag)
     2633    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     2297    0.002    0.000    0.003    0.000 __init__.py:909(_linkage_fixer)
      9/7    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
    13231    0.002    0.000    0.003    0.000 _parser.py:256(match)
    14511    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     3080    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      427    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       22    0.002    0.000    0.549    0.025 {method 'join' of 'bytes' objects}
     7468    0.002    0.000    0.003    0.000 _parser.py:176(append)
      166    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    12605    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
      931    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
       42    0.002    0.000    0.009    0.000 filter.py:130(filter)
      166    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      313    0.002    0.000    0.098    0.000 __init__.py:280(_compile)
       43    0.002    0.000    0.012    0.000 response.py:105(decompress)
     5892    0.002    0.000    0.002    0.000 element.py:3090(descendants)
        1    0.001    0.001    9.005    9.005 financial.py:47(main)
     2286    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      339    0.001    0.000    3.267    0.010 ssl.py:1237(recv_into)
     5877    0.001    0.000    0.005    0.000 filter.py:726(match)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     3733    0.001    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
7072/7004    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      122    0.001    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
     9132    0.001    0.000    0.006    0.000 __init__.py:122(unescape)
       16    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
     7241    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3034    0.001    0.000    0.003    0.000 filter.py:540(matches_tag)
     8108    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     3992    0.001    0.000    0.002    0.000 element.py:2007(is_empty_element)
      339    0.001    0.000    3.269    0.010 socket.py:693(readinto)
     4307    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3886    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
     7422    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      218    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     6238    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      166    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     9241    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    12277    0.001    0.000    0.001    0.000 typing.py:2154(cast)
     3993    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
     6196    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
    222/4    0.001    0.000    0.189    0.047 <frozen importlib._bootstrap>:1349(_find_and_load)
      262    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      902    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     4251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    446/8    0.001    0.000    0.188    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       66    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     3710    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      332    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      176    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      191    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      317    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     4285    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
    168/1    0.001    0.000    9.194    9.194 {built-in method builtins.exec}
    56/16    0.001    0.000    0.012    0.001 css_parser.py:925(parse_selectors)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      943    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
