('Total Revenue', '281,724,000', '211,915,000', '281,724,000', '245,122,000', '198,270,000')
         897813 function calls (873520 primitive calls) in 4.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      322    3.069    0.010    3.069    0.010 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.308    0.308    0.308    0.308 {built-in method _socket.getaddrinfo}
        1    0.204    0.204    0.204    0.204 {method 'connect' of '_socket.socket' objects}
        1    0.189    0.189    0.189    0.189 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     3937    0.025    0.000    0.131    0.000 parser.py:320(parse_starttag)
    35558    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
 4760/199    0.020    0.000    0.057    0.000 _parser.py:512(_parse)
        2    0.017    0.009    0.218    0.109 parser.py:135(goahead)
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      166    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
 5522/191    0.012    0.000    0.029    0.000 _compiler.py:37(_compile)
     3937    0.011    0.000    0.016    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     3937    0.011    0.000    0.058    0.000 __init__.py:990(handle_starttag)
    94352    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    11542    0.008    0.000    0.008    0.000 element.py:382(setup)
     8180    0.007    0.000    0.032    0.000 __init__.py:829(endData)
     3938    0.007    0.000    0.028    0.000 element.py:1813(__init__)
     3937    0.007    0.000    0.068    0.000 _htmlparser.py:142(handle_starttag)
     3722    0.007    0.000    0.046    0.000 parser.py:398(parse_endtag)
73564/67258    0.007    0.000    0.008    0.000 {built-in method builtins.len}
61167/61157    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
       40    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    20380    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
    29587    0.006    0.000    0.008    0.000 _parser.py:168(__getitem__)
    11807    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     3937    0.005    0.000    0.035    0.000 _htmlparser.py:204(handle_endtag)
  551/546    0.005    0.000    0.045    0.000 {built-in method builtins.__build_class__}
      902    0.005    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
     3936    0.005    0.000    0.009    0.000 __init__.py:953(_popToTag)
 1271/191    0.005    0.000    0.058    0.000 _parser.py:452(_parse_sub)
    15661    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
4541/4511    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
 5469/372    0.004    0.000    0.007    0.000 _parser.py:178(getwidth)
     3802    0.004    0.000    0.010    0.000 __init__.py:870(object_was_parsed)
     3802    0.004    0.000    0.008    0.000 element.py:1478(__new__)
    25928    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     3938    0.004    0.000    0.005    0.000 __init__.py:812(pushTag)
    16696    0.004    0.000    0.006    0.000 _parser.py:261(get)
    25515    0.004    0.000    0.004    0.000 _parser.py:240(__next)
    11505    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    21884    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     3802    0.003    0.000    0.005    0.000 __init__.py:735(string_container)
      881    0.003    0.000    0.003    0.000 {built-in method posix.stat}
8370/8343    0.003    0.000    0.008    0.000 typing.py:392(inner)
     3937    0.003    0.000    0.003    0.000 __init__.py:789(popTag)
    17416    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.003    0.003    0.003    0.003 models.py:909(text)
    21685    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        1    0.003    0.003    0.035    0.035 dammit.py:128(_populate_class_variables)
     3937    0.003    0.000    0.010    0.000 parser.py:364(check_for_whole_start_tag)
      9/7    0.003    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
     3936    0.003    0.000    0.030    0.000 __init__.py:1056(handle_endtag)
    13231    0.002    0.000    0.004    0.000 _parser.py:256(match)
     2630    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
      228    0.002    0.000    0.623    0.003 {method 'read' of '_io.BufferedReader' objects}
     2271    0.002    0.000    0.003    0.000 __init__.py:909(_linkage_fixer)
     3054    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      427    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    14511    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     7468    0.002    0.000    0.003    0.000 _parser.py:176(append)
      166    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    12547    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
      930    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
       22    0.002    0.000    0.630    0.029 {method 'join' of 'bytes' objects}
      166    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       42    0.002    0.000    0.008    0.000 filter.py:130(filter)
      312    0.002    0.000    0.098    0.000 __init__.py:280(_compile)
     5777    0.001    0.000    0.005    0.000 filter.py:726(match)
     2286    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
